fclty_id|fclty_nm|area_addr|city_do_cd|ctprvn_nm|signgu_cd|signgu_nm|adstrd_cd|adstrd_nm|la|lo
AC69|영월문화예술회관|강원도 영월군 영월읍 단종로 24|32|강원도|32330|영월군|3233011|영월읍|37.185951|128.468433
AC70|치악예술관|강원도 원주시 서원대로 331|32|강원도|32020|원주시|3202054|명륜1동|37.335584999999995|127.94516200000001
AC71|인제하늘내린센터|강원도 인제군 인제읍 비봉로44번길100 |32|강원도|32390|인제군|3239011|인제읍|38.06092|128.165042
AC73|횡성문화예술회관|강원도 횡성군 횡성읍 문예로 75 ,횡성문화예술회관 2층 횡성문화재단|32|강원도|32320|횡성군|3232011|횡성읍|37.488619|127.975594
AC74|강릉단오제전수교육관|강원도 강릉시 단오장길 1(노암동)|32|강원도|32030|강릉시|3203062|강남동|37.748227|128.89503
AC75|강릉아트센터|강원도 강릉시 종합운동장길 84|32|강원도|32030|강릉시|3203055|교1동|37.772462|128.895288
AC76|동해시문화예술회관|강원도 동해시 천곡동 809|32|강원도|32040|동해시|3204051|천곡동|37.526658000000005|129.113725
AC78|속초문화예술회관|강원도 속초시 번영로 155|32|강원도|32060|속초시|3206051|영랑동|38.21288|128.588618
AC79|양양군문화복지회관|강원도 양양군 양양읍 일출로 540|32|강원도|32410|양양군|3241011|양양읍|38.076862|128.62677
AC80|화강문화센터|강원도 철원군 서면 약수로3|32|강원도|32360|철원군|3236031|서면|38.245257|127.426847
AC81|태백문화예술회관|강원도 태백시 고원로 203|32|강원도|32050|태백시|3205051|황지동|37.171908|128.988011
AC82|평창문화예술회관|강원도 평창군 평창읍 문화예술길 51|32|강원도|32340|평창군|3234011|평창읍|37.36148|128.390916
AC84|화천문화예술회관|강원도 화천군 화천읍 상승로 91번지|32|강원도|32370|화천군|3237011|화천읍|38.108607|127.70487299999999
AC85|대전예술가의집|대전광역시 중구 중앙로 32|25|대전광역시|25020|중구|2502067|문화1동|36.32232|127.416055
AC86|대덕문예회관|대전광역시 대덕구 대전로 1348(읍내동)|25|대전광역시|25050|대덕구|2505053|회덕동|36.3741|127.420639
AC87|대전예술의전당|대전광역시 서구 둔산대로 135|25|대전광역시|25030|서구|2503069|만년동|36.366820000000004|127.384955
AC88|대전시립연정국악원|대전광역시 서구 둔산대로 181|25|대전광역시|25030|서구|2503069|만년동|36.366429|127.389416
AC89|관저문예회관|대전광역시 서구 관저동로 105번길 20(관저동, 1199번지)|25|대전광역시|25030|서구|2503072|관저1동|36.301679|127.339527
AC90|당진문예의전당|충청남도 당진시 무수동2길 25-21|34|충청남도|34080|당진시|3408051|당진1동|36.890178000000006|126.63789299999999
AC91|천안예술의전당|충청남도 천안시 동남구 성남면 종합휴양지로 185|34|충청남도|34011|천안시 동남구|3401134|성남면|36.75607|127.225674
AC92|계룡문화예술의전당|충남 계룡시 엄사면 문화1로 13|34|충청남도|34070|계룡시|3407033|엄사면|36.272932|127.234145
AC93|공주문예회관|충청남도 공주시 고마나루길5|34|충청남도|34020|공주시|3402058|웅진동|36.460186|127.111402
AC94|금산다락원|충청남도 금산군 금산읍 금산로 1559 금산다락원 |34|충청남도|34310|금산군|3431011|금산읍|36.111913|127.49173700000001
AC95|논산문화예술회관|충청남도 논산시 시민로 270|34|충청남도|34060|논산시|3406051|취암동|36.19093|127.09513000000001
AC96|보령문화예술회관|충청남도 보령시 성주산로 101|34|충청남도|34030|보령시|3403054|대천4동|36.333858|126.61454099999999
AC97|서산시문화회관|충청남도 서산시 문화로 54|34|충청남도|34050|서산시|3405051|부춘동|36.786165999999994|126.448376
AC1|나루아트센터|서울특별시 광진구 능동로 76|11|서울특별시|11050|광진구|1105065|자양1동|37.537578|127.070544
AC2|강남씨어터|서울 강남구 역삼로7길 16|11|서울특별시|11230|강남구|1123064|삼성1동|37.515915|127.052125
