no,rgs_de,area_lc,ty,genre_cl,ticket_se,dscnt_rt,pblprfr_nm,adhrnc_nm,prfplc_pd,prfplc_nm,viewng_grad_dc
7609,2018-11-12,인천,공연,아동극,무료티켓,100%,[인천]2018 어린이율동놀이뮤지컬<호비쇼>-인천(객석나눔),(주)화랑엔터테인먼트,2018-12-15~2018-12-16,남동소래아트홀,전체관람가
7610,2018-11-12,인천,공연,아동극,할인티켓,50%,[인천]2018 어린이율동놀이뮤지컬<호비쇼>-인천,(주)화랑엔터테인먼트,2018-12-15~2018-12-16,남동소래아트홀,전체관람가
7611,2018-11-12,부산,공연,아동극,할인티켓,60%,[부산]2018 크리스마스특집<수리수리매직쇼>,극단 화랑,2018-12-15~2018-12-15,부산시민회관 소극장,24개월 이상 관람가
7612,2018-11-13,부산,공연,연극,무료티켓,100%,"[부산]창작극 휴먼드라마<아빠집, 반송>(객석나눔)",해운대문화회관,2018-11-21~2018-11-22,해운대문화회관 해운홀(대공연장),8세 이상 관람가
7613,2018-11-14,경기,공연,클래식,무료티켓,100%,[경기]금관7중주<모질브라스> - 과천(객석나눔),과천도시공사,2018-11-22~2018-11-22,과천시민회관 대극장,8세 이상 관람가 초등학생 이상 관람가
7614,2018-11-15,서울,공연,발레/무용,무료티켓,100%,[서울]The Game : 경계의 법칙(객석나눔),이경옥 무용단,2018-11-23~2018-11-24,CKL스테이지,만 7세 이상 관람가
7615,2018-11-15,부산,공연,클래식,무료티켓,100%,[부산]문화가 있는 날<가족과 함께하는 영화음악 콘서트>(객석나눔),해운대문화회관,2018-11-29~2018-11-29,해운대문화회관 해운홀(대공연장),8세 이상 관람가
7616,2018-11-15,서울,공연,클래식,무료티켓,100%,[서울]국립합창단 기획공연<제19회 데뷔콘서트>(객석나눔),(재)국립합창단,2018-11-24~2018-11-24,예술의전당 IBK챔버홀,8세 이상 관람가
7617,2018-11-15,전북,공연,콘서트,할인티켓,75%,[전북]2018 변진섭 소확행 콘서트 - 전주,컴퍼니에이이엔티 주식회사,2018-11-25~2018-11-25,한국소리문화의전당 모악당,8세 이상 관람가
7618,2018-11-15,서울,공연,발레/무용,할인티켓,80%,[서울]The Game : 경계의 법칙,이경옥 무용단,2018-11-23~2018-11-24,CKL스테이지,만 7세 이상 관람가
7619,2018-11-16,경기,공연,오페라,무료티켓,100%,[경기]오페라<리골레토> - 과천(객석나눔),과천도시공사,2018-12-08~2018-12-08,과천시민회관 대극장,8세 이상 관람가 초등학생 이상 관람가
