event_nm,tme_dc,event_bgn_de,event_end_de,auspc_instt_nm,opmt_place_nm,event_dc
2018 원주다이내믹댄싱카니발,,2018-09-11,2018-09-16,"원주시, 제 36사단","원주시 따뚜공연장, 원일로, 원주일대","11일부터 6일동안 원주 따뚜공연장과 도심 곳곳에서 펼쳐지는 댄싱카니발은 국내외 230개팀,1만4000여명이 참가해 열띤 경합을 벌였다. '인디밴드,국악,스트릿 댄스,마임 등 다양한 분야의 아티스트들이 총 출동해 무대를 빛냈다."
2018 대전 국제 기타 페스티벌,11회,2018-09-12,2018-09-15,대전문화재단,"대전예술가의집, 대전시립연정국악원","올해로 11회를 맞이하는 대전국제기타페스티벌은 클래식기타를 테마로 해 전문기타리스트는 물론 처음으로 아마추어 기타리스트가 함께 어우러져 시민 누구나 가까이서 즐기고 참여할 수 있는 축제로 펼쳐지며, ‘국내·외 유명기타리스트 초청공연’, 아마추어 기타리스트 공연‘2PM Dream concert’, ‘수제기타 전시회’로 마련됐다."
2018 천안흥타령축제,,2018-09-12,2018-09-16,천안문화재단,천안삼거리공원,"‘다함께 흥겨운 춤을!’(Let’s Dance in Cheonan!)이라는 주제와 ‘흥으로! 춤으로! 천안으로!’ 슬로건을 내건 이번 천안흥타령춤축제는 12일부터 16일까지 5일 동안 천안삼거리공원, 천안예술의전당, 천안 시내 일원에서 흥을 춤으로 담아낸 다채로운 공연과 풍성한 행사로 꾸며졌다."
제22회 보령예술제,22회,2018-09-13,2018-09-16,한국예총 보령지회,"보령문화의전당특설무대, 대강당","생활문화동호회 페스티벌이 예술제 기간에 열리며, 읍면동과 시 단위 동호회 약 32팀이 참가, 통기타, 난타, 풍물, 색소폰, 하모니카, 우쿨렐레, 댄스 등 그간 갈고 닦은 실력을 선보였다."
제13회 화엄음악제,13회,2018-09-14,2018-09-16,대한불교조계종 제19교구본사,지리산 구례 화엄사,"‘진혼(鎭魂)’을 주제로 열린 화엄음악제 13번째 무대는 현재를 살아가는 슬픈 자화상에 보내는 위로와 위안의 시간으로 진행됐다. 14일 선다회의 다례의식을 시작으로 피아니스트 정현의 연주와 보컬 오마르의 노래, 나엠의 스페인 전통음악, 권송희의 판소리 랩으로 화엄음악제의 막을 올렸다."
제13회 논산예술제,13회,2018-09-14,2018-09-16,(사)한국예술문화단체총연합회 논산지회,"시민공원, 논산문화원 전시실","개막식은 14일 오후 4시 30분 시민공원에서 식전공연을 시작으로 논산예술인들의 다채로운 축하공연으로 펼쳐지며, 오후 6시 30분에는 제13회 논산시민가요제가 열린다. 15일에는 시민공원 일원에서 ‘제1회 예술하고 놀자’ 공연을 마련하였다. 16일은 제24회 논산시민을 위한 국악 대공연과 제8회 논산시 읍면동 풍물경연대회가 시민공원 특설무대와 잔디광장에서 펼쳐져 국악의 진수와 멋을 선사하였다."
2018 제7회 월드 벨리댄스 컨벤션,7회,2018-09-14,2018-09-17,(사)한국가디스벨리댄스협회,용산아트홀,2018년 9월 14일부터 17일까지 용산아트홀에서 (사)한국가디스벨리댄스협회가 주최한 <2018 제7회 월드 벨리댄스 컨벤션>이 열렸다.
제16회 대구국제오페라축제,16회,2018-09-14,2018-10-21,"대구광역시, (재)대구오페라하우스"," 대구오페라하우스, 대구 등지","이번 축제의 주제로 지난해와 같은 ‘OPERA and HUMAN’을 앞세우고, 여기에 ‘영원한 오페라, 꿈꾸는 사람’이라는 부제를 더해 오페라의 과거와 현재, 그리고 미래를 잇는다는 의미를 전달하고자 했다. ‘메인 오페라’ 4편 및 ‘오페라 콘체르탄테’ 외에도, 지역 내 여러 소공연장에서 펼쳐지는 ‘소극장 오페라’를 주중에 편성시킴으로써 관객들의 선택의 폭을 넓혔다."
제2회 세종호수예술축제(SLAF),2회,2018-09-15,2018-09-16,세종특별자치시,세종호수공원,"세종호수예술축제는 호수공원을 중심 무대로 해서 누구나 공연을 즐길 수 있도록 공연의 문턱은 낮추고 국내 우수한 공연단체를 초청해 공연의 질은 높여 20개 이상의 다양한 공연을 관람할 수 있었다. 개막 공연은 공연 ‘달빛드론’과 여성 타악그룹 ‘제이스틱’, ‘극단 하땅세’의 가족 어린이극, 뮤지컬 배우 배해선이 ‘빌리 엘리어트 출연진’과 함께 꾸미는 ‘뮤지컬 갈라쇼’ 등으로 이뤄졌다. 폐막 공연은 ‘라퍼커션’의 거리 퍼레이드, 비보이 그룹 ‘애니메이션크루’의 댄스 공연, 아트 불꽃 퍼포먼스 그룹 ‘화랑’의 불꽃쇼로 마무리되었다."
제12회 대한민국 농악축제,12회,2018-09-15,2018-09-17,"문화재청, 강릉시",강릉농악전수관,"이번 행사는 유네스코 인류무형문화유산 등재 4주년을 맞은 강릉농악(국가무형문화재 제11-4호)을 비롯 국가무형문화재로 지정된 농악대, 강릉지역 마을농악대 등이 참여해 한바탕 놀이를 펼쳤다."
제7회 진주시민 합창 페스티벌,7회,2018-09-15,2018-09-29,진주시,경남문화예술회관 대공연장,진주시와 한국예총 진주지회가 주최하고 주관하는 '제7회 진주시민 합창 페스티벌'을 경남 문화 예술회관 대공연장에서 펼쳐졌다.
제20회 대구국제무용제,20회,2018-09-18,2018-09-20,대구무용협회,아양아트센터 아양홀,대구무용협회(회장 강정선) 주최 제20회 대구국제무용제가 18일(화)부터 20일(목)까지 3일 동안 아양아트센터 아양홀에서 열렸다. 야외 및 메인공연으로 나누어지는 이번 행사는 7개국 25개의 수준높은 작품을 선보였다.
2018 울산 전국창작음악제 <울산을 노래하다>,,2018-09-18,2018-09-20,울산시,울산문화예술회관,"‘울산을 노래하다’라는 슬로건으로 개최된 이번 음악제는 전국규모의 창작음악제로 울산의 자연과 문화, 역사를 소재로 창작한 기악곡과(관현악, 실내악) 성악곡(합창, 가곡), 음악을 기반으로 한 미디어 아트 퍼포먼스로 구성되었다."
강원연희페스티벌5&연희프린지,,2018-09-18,2018-09-22,"한국문화예술위원회, 강릉시",강릉단오제 전수교육관,"전통음악을 중심으로 하는 아트컴퍼니 해랑, (사)한국전통문화예술원 태극, 아울, 런갯마당, 푸너리 등 지역 예술단체들이 참여해 5일 동안 매일 오후 7시30분 강릉단오제전수교육관에서 다양한 프로그램을 펼쳤다."
제30회 춘천인형극제,30회,2018-09-28,2018-10-03,춘천인형극제,"춘천인형극장, 축제극장몸짓, 춘천시청 광장, 춘천시내","춘천인형극제(이사장 한기웅)는 ‘30년의 여정!인형,세상으로 번지다!’를 주제로 정하고 130회에 걸쳐 인형극을 선보였다. 공식초청작은 국내 10개,해외 8개 팀을 선정해 독일, 이탈리아 등 세계 인형극축제에서 최고 작품상을 수상하고 세계 각지에서 450회 이상 공연된 ‘Hanging By a Thread’를 비롯해 폴란드,보스니아,세르비야 등지에서 호평받은 스페인 극단의 금속 고철 인형극 ‘The game of time’ 등이 무대에 올랐다."
제15회 무룡예술제,15회,2018-09-28,2018-10-13,울산광역시 북구,"북구문화예술회관 공연장, 전시장","소리꾼 장사익과 함께 하는 우리 노래 콘서트가 올해 무룡예술제이 서막을 열었고 10월 5일에는 극단 '결' 공연, 8일에는 재즈 오케스트라의 만남, 13일에는 문수오페라단 공연이 이어진다."
2018 달성100대피아노,,2018-09-29,2018-09-30,달성군,대구 사문진 상설야외공연장,"첫날인 29일 공연은 메조소프라노 김정화의 사회로 진행되며 100인의 하모니카 연주가 시작을 알렸다. 피아니스트 임동혁, 뮤지컬배우 김소현·손준호 부부, 한국 대표 바리톤 4총사 고성현·우주호·한명원·제상철, 환상의 듀오 첼리스트 조영창·피아니스트 김영호, 글로벌 퓨전 뮤직 앙상블인 풍류21과 피아니스트 최훈락의 협연 등이 이어졌다. 30일 공연에는 박종훈과 100인 피아니스트의 협연, 가수 윤종신과 뮤지컬배우 임태경, 재즈보컬리스트 웅산 등이 무대에 올랐다. 피아니스트 양성원, 첼리스트 송영훈, 소프라노 김혜경, 국악인 안이호와 이승희 등도 출연했다."
2018 제21회 서울세계무용축제,21회,2018-10-01,2018-10-19,국제무용협회(CID-UNESCO)한국본부,"예술의전당 자유소극장, 서강대학교 메리홀 대극장, KOCCA 콘텐츠문화광장","올해 시댄스는 전 지구적 문제인 ‘난민’을 주제로, 국내외 예술가들의 프로그램을 마련하여 우리가 마주한 현재의 난민 문제를 조명하는 핀란드, 포르투갈, 벨기에, 프랑스, 영국, 스페인, 독일, 룩셈부르크, 시리아, 중국, 일본, 한국 등 유럽∙아프리카∙중남미∙중동∙아시아 26개국 60개 단체의 53개 작품을 만나보았다."
2018 제36회 제물포예술제,36회,2018-10-02,2018-10-02,사)한국예술문화단체총연합회 인천광역시연합회,인천문화예술회관 소공연장,"인천예총 산하 5개 예술단체가 주관하는 올해 제물포예술제는 장르를 넘나들면서 진행됐다. 100분간 진행될 축제의 시작은 음악협회가 마련한 웨스트윈드 앙상블의 '스크린 뮤직'으로 시작해 연극협회의 '트로컬 방자전', 무용협회의 전통무용으로 이어졌다. 공연 후반부는 국악협회가 마련한 국악인 박규희·한승주, 타악그룹 타투가 출연해 신민요(가시버시사랑, 배띄어라, 동해바다)와 사물굿판으로 시작됐으며 마지막은 연예예술인협회의 가수 임예진과 유기화, 걸그룹 비타민엔젤이 펼치는 가을향기 '작은음악콘서트'로 장식되었다. 또한 이날 인천예총은 부대행사로 올해 개최된 한중미술사진교류전의 출품작품을 기증받아 불우예술인 돕기 기금 마련을 위한 전시 및 바자회도 개최했다."
2018 군산진포국제예술제,50회,2018-10-02,2018-10-09,사)한국예술문화단체총연합회 군산지회,"군산근대역사박물관 특설무대, 군산예술의전당 대·소공연장","‘예술과 놀다’를 주제로 펼쳐지는 진포예술제에서는 국악과 무용, 음악 등 예총 소속 9개 지부가 준비한 공연과 작품을 선보였다."
2018 대구예술제,,2018-10-03,2018-10-07,대구예총,계명대학교 대명동 캠퍼스,"대구예술문화단체 총연합회가 주최하는 대구예술제는 개막식을 시작으로 문인협회 '문학의 밤', 연예협회 '추억으로의 대학가요제', 음악협회 '오페라 사랑의 묘약'을 포함해 회원단체 10개 협회의 다채로운 공연이 7일까지 이어졌다."
The 17th 전주세계 소리축제,17회,2018-10-03,2018-10-07,전라북도,한국소리문화의전당,"올해 축제는 공식행사, 기획공연, 부대행사, 어린이 소리축제 등 6개 분야로 나눴다. 특히 이번에는 한국 전통예술의 전형으로 여겨지는 ‘굿’에 대한 새로운 시선을 축제에 담았다. 소리축제의 시작을 알리고 동서양 음악이 어우러지는 무대를 경험할 수 있는 개막공연 명칭은 ‘소리판타지’였다."
2018 무등울림,,2018-10-03,2018-10-28,"광주광역시, 광주문화재단",광주전통문화관,"무등울림 축제는 ‘전통의 美(미), 배움의 學(학), 화합의 場(장), 휴식의 休(휴), 경연의 戰(전)’ 등 5가지 소주제를 가지고 매일 다른 프로그램이 여러 축제 현장에서 진행됐다."
2018 세종예술제,,2018-10-04,2018-10-05,,세종호수공원 수상무대섬,"예술단체 간 협력형으로 여섯 번째 세종축제와 연계해 개최되는 이번 예술제는 음악, 전통, 무용의 장르 등을 기반으로 활동하는 총 18개 예술단체가 참여했다."
서울거리예술축제 2018,16회,2018-10-04,2018-10-07,"서울특별시, 서울문화재단","서울광장, 청계광장, 광화문광장, 세종대로, 청계천로, 돈의문박물관, 남산한옥마을","국내 초청작뿐만 아니라 프랑스, 스페인, 폴란드, 영국, 벨기에 등 10개국의 예술단체가 총 46편의 거리예술 공연을 선보였다. 서로를 있는 그대로 인정하고 함께 나아가자는 공감과 연대를 담아 '따로, 또 같이'를 주제로 정했다."
23회 인천국제클라운마임축제,23회,2018-10-04,2018-10-14,"클라운마임협의회, 극단마임·작은극장돌체",작은극장 돌체 외 Outdoor,"올 축제에는 벨기에, 아르헨티나, 이탈리아, 멕시코, 한국 등의 팀들이 독창적이고 유쾌하고 신나는 공연을 펼쳐 어린이부터 어르신까지 함께 즐길 수 있었다."
2018 밀양푸른연극제,,2018-10-05,2018-10-09,밀양시,"밀양연극촌, 밀양아리랑아트센터","이번 공연의 슬로건은 '연극으로 떠나는 즐거운 휴가'다. 새로운 라이프 트렌드 '워라밸 (Work & Life Balance)' 즉, 일을 떠나 여가 생활로 삶의 균형을 맞추려는 관객의 문화욕구를 한 방에 충족시킬 수 있는 작품으로 축제를 구성했다."
제15회 함안예술제,15회,2018-10-05,2018-10-13,(사)함안예총 함안지회,"함안문화예술회관, 야외공연장, 함안체육관","행사 개막일인 5일 문화예술회관 전시실에서 개막식 및 오프닝과 함께 '제37회 미술협회작품전시회'가 열렸다. 유명 인기가수 신형원, 노사연, 유열이 출연하는 ‘7080 낭만콘서트’가 열렸다. 6일에는 제16회 시낭송대회와 제7회 함안아라가야 전국국악경연대회, 함안예술제 가요제가 함주공원 야외공연장에서 열렸으며 7일에는 제17회 함안국악협회 정기연주회가 문화예술회관 대공연장에서 개최됐으며, 9일과 10일, 11일에는 ‘쌀통스캔들’ 연극공연과 ‘만석중! 비보이와 날개를 달다’ 만석중놀이공연, ‘가을밤의 랩소디’ 음악공연이 문화예술회관 대공연장에서 각각 열렸다. 12일에는 함안여성합창단 등 7개 팀이 참가하는 ‘제8회 아라가야합창제’가 열렸고, 마지막 날인 13일에는 하우스콘서트 ‘Fun한 재즈 Story with 재즈콰이어’가 문화예술회관 대공연장에서 열려 함안예술제의 대미를 장식했다."
 IAP 스트릿 아트 페스티벌,,2018-10-06,2018-10-07,,인천아트플랫폼 야외 광장,"인천문화재단 인천아트플랫폼은 인천아트플랫폼 야외광장 일대에서 인형극, 마임, 퍼포먼스, 설치미술, 놀이체험 등으로 구성된 작은 거리예술 축제‘IAP 스트릿 아트 페스티벌’을 개최했다."
제43회 정선아리랑제,43회,2018-10-06,2018-10-09,"강원도, 정선군, (사)정선아리랑제위원회",정선읍 아라리공원 일원,"6일 특설무대에서 열리는 개막공연 정선아리랑극 파퓰러 퍼포먼스인 ‘아리 아라리’가 서막을 알렸다. 이어 우리음악연구회 ‘우리소리 아라리’와 전통문화교류전 ‘밀양백중놀이’ 등이 무대에 올랐다.유네스코 인류무형문화유산 교류 공연으로 아르헨티나,몽골,필리핀 바왕시 공연단이 전통문화 교류에 나서며,백두한라예술단의 ‘서도아리랑’도 주제공연으로 기획됐다. 폐막공연은 9일 특설무대에서 ‘아리랑 우리의 상(象)’이 공연됐다. "
제42회 여수예술제,42회,2018-10-06,2018-10-30,여수시,"이순신광장, 진남문예회관, 예울마루 소극장, 웅천친수공원, 거북선공원","10월 6일부터 30일까지 공연행사,식기행사,전시행사가 이어졌다."
제46회 범음악제(Pan Music Festival),46회,2018-10-06,2018-10-31,국제현대음악협회 한국위원회,"가천대학교 예음관 예음홀, 전주대학교 문화융합대학 리사이틀홀, JCC 아트센터 콘서트홀, 세종문화회관 체임버홀, 대구콘서트하우스 챔버홀, 제주대학교 음악관 콘서트홀","문체부 산하 한국문화예술위원회의 지원을 통해 이루어지는 이번 음악제의 무대는 전국 규모의 음악제로 10월 6일은 대구콘서트하우스와 전주대학교 콘서트홀에서 음악회를 개최했으며, 7일 제주대학교 콘서트홀, 12일부터 13일까지 이틀 동안 3회의 공연이 서울 세종체임버홀에서 열렸다."
2018 서울국제공연예술제(SPAF),18회,2018-10-07,2018-11-04,"(재)예술경영지원센터, 한국문화예술위원회","아르코예술극장, 대학로예술극장, 설치극장 정미소","회고와 전망'을 주제로 한 서울국제공연예술제는 한국을 비롯해 리투아니아, 벨기에, 세르비아, 싱가포르, 아일랜드, 프랑스, 핀란드 8개국 23개 단체가 참여해 22개 연극과 무용 작품을 선보였다."
제32회 성남문화예술제,32회,2018-10-10,2018-11-09,사단법인 성남예총,성남시청 광장,"무용, 음악, 국악, 연극, 문예, 가요, 영화, 사진, 미술 등 9개 분야의 예술인들이 시민이 한데 어우러져 즐기는 문화예술 행사를 마련했다."
제51회 영동난계국악축제,51회,2018-10-11,2018-10-14,"영동군, 영동군축제추진위원회",충북 영동군 하상주차장 및 난계사 일원,"난계국악단의 흥겨운 국악 공연, 다양한 퓨전 국악 연주, 조선 시대 어가 행렬, 종묘제례악 시연 등 현대와 전통을 조화한 문화예술 행사로 축제를 꾸몄다. 난계 거리 퍼레이드와 어가행렬, 국악·문화공연, 국악기 제작·연주 체험, 새마을·풍물야시장 등 볼거리, 먹거리, 즐길거리가 다양하게 펼쳐졌다."
제45회 대가야문화예술제,45회,2018-10-11,2018-10-14,고령문화원,대가야문화누리,"올해로 45회째인 대가야문화예술제는 개막식, 미술, 공예작품전시회, 뮤지컬, 대가야 장기대회, 낙동강 7경 문화한마당 등 다양한 예술작품 전시회 및 문화예술 공연이 펼쳐져 지역민의 관심을 끌었다."
제29회 김해예술제 ,29회,2018-10-11,2018-10-21,김해시,김해문화의전당,"김해-함께하는 예술향기'라는 주제로 열리는 김해예술제는 지역예술인들의 창작 활동을 통해 시민과 함께 소통하며 지역 예술 발전을 도모하기 위해 마련됐다. 11일 연극협회의 개막공연 ‘적산가옥’을 시작으로 12일 음악협회의 '아름다운 김해로 열린음악회', 13일 국악협회의 '국악의 향연'이 김해문화의전당 마루홀에서 공연됐다."
제59회 한국민속예술축제,59회,2018-10-12,2018-10-14,"문화체육관광부, 제주특별자치도",제주 성읍민속마을,"한국민속예술축제'에는 이북 5도를 포함해 전국 20개 시도 대표 1,200여 명이 경연을 펼쳤다."
2018 부평풍물대축제,22회,2018-10-12,2018-10-14,인천광역시 부평구,부평대로 및 부평아트센터,"22회째를 맞이하는 '2018 부평풍물대축제'는 인천, 부평의 농경문화를 재현하고 전통문화인 풍물의 저변확대를 위하여 만들어졌으며 제19회 전국학생풍물경연대회, 제18회 부평전국국악경연대회, 제19회 부평구동풍물경연대회 등 경연대회와 전통연희 공연, 거리난장 공연, 시민풍물난장 공연, 전통체험 등 거리예술축제로 행사가 진행되었다."
구례동편소리축제,10회,2018-10-12,2018-10-14,,"구례 실내체육관, 구례 서시천체육공원 일원","축제 첫째 날인 지난 12일에는 송만갑, 유성준, 박봉래, 박봉술 등 동편제 거장과 국악인을 기리는 국악인 추모제를 시작으로 개막식과 개막 축하공연이 이어졌다. 또한, 오페라 버전으로 편곡한 ‘심청’과 ‘인당수 뱃노래’를 비롯해 해금 협연곡, 이현 예술단의 춤 ‘흠향’ 등 현대예술과 전통예술을 접목한 무대가 펼쳐졌다. 둘째 날인 13일에는 지역 학생들이 참가해 동편제 문예백일장을 펼쳤으며 읍·면 농악단의 공연과 호남여성농악 판굿, 동편제 젊은소리 공연도 이어졌다. 오후에는 박명언, 강민지, 조선하 등 군을 대표하는 명창들의 구례 판소리 명창전과 송순섭, 김일구, 강정숙 등 대한민국을 대표하는 명창들의 동편제 명인명창전이 열렸다."
제15회 천안예술제,15회,2018-10-12,2018-10-14,한국예총 천안지회,도솔광장,"천안 예총이 주최하고 천안시가 후원하는 '천안예술제'는 천안지역에서 활동 중인 음악·미술·연극 등의 9개 예술단체 1,000여명의 예술인과 2,000여 명의 동호인들이 참여해 시민과 함께 예술 장르를 교류하기 위해 마련됐다."
2018 종로문화다양성연극제,,2018-10-12,2018-11-18,종로문화재단,"스튜디오 76, 예술공간 서울, 아이들극장, 미마지아트센터 눈빛극장, 대학로예술극장 대극장","기획공연 3편과 자유참가작 4편을 선보였다. 기획공연은 에이치프로젝트의 「전시조종사」, 극단 명작옥수수밭의 「외톨이들」, 글과 무대의 「우리는 처음 만났거나 너무 오래 알았다」이며 스튜디오76(이화장길 99)에서 만나보았다. 자유참가작은 코끼리만보의 「애들러와 깁」(예술공간 서울), 아이들극장의 「엄마이야기」(아이들극장), 퍼포먼스 온의 「일루전」 (눈빛극장), 하땅세의 「그 때, 변홍례」(대학로예술극장 대극장)이 공연됐다."
제2회 PIEFest국제교류의날,2회,2018-10-13,2018-10-13,,팽성국제교류센터,"오키나와 전통공연을 비롯해 아프리카 공연, 평택농악 등 다채로운 공연을 진행했다. 나아가 올해는 페루와 불가리아 대사관, 과테말라 상공회의소의 참여로 보다 다양한 국가의 문화를 체험할 수 있는 기회가 됐으며, 관내 대학 유학생들의 베트남 전통공연, 태권도 시범 등 거주 유학생들도 축제의 장을 한 층 빛냈다. "
학산마당극놀래 2018,,2018-10-13,2018-10-13,미추홀학산문화원,옛시민회관 쉼터 야외무대,"시민창작예술제 학산마당극놀래가 ‘미추홀이랑 살어리랏다’라는 주제로 13일 오후 3시부터 옛 시민회관 일대와 문화창작지대 틈에서 열렸다. 예술제는 섹션 3개로 구성했는데, 섹션별로 의미를 담았다. 첫 번째 섹션은 시민마당극 경연마당 ‘마당예술, 놀래’이다. 마당예술동아리 14개가 창작한 ‘10분 마당극’ 경연마당으로, 주요 내용은 내 삶이 이뤄지는 장소와 역사를 공유하고 나의 현재와 미래를 함께할 이웃들의 이야기다. 전문가와 주민심사단 60여명이 심사했다. 이밖에 어린이들을 위한 인형극과 체험형 워크숍도 준비했다."
제9회 부산국제춤마켓,9회,2018-10-13,2018-10-16,신은주무용단,"부산춤공간 SHIN, 부산시민회관 소극장, 사상 인디스테이션","13일 오후 6시, 15일 오후 7시30분 부산춤공간 SHIN에서 열리는 메인 공연 ‘BIDAM 포커스’에서는 BIDAM이 시행한 국제 공모에 응모한 15개국 60개 작품 가운데 심사를 거쳐 최종 선정한 7개 춤 작품이 공연됐다. "
제7회 을숙도 창작음악축제,7회,2018-10-15,2018-10-18,"을숙도문화회관, 을숙도창작음악축제조직위원회",을숙도문화회관 대·소공연장,"문화와 예술발전의 기반이 되는 창작활동을 지원하여 지역의 예술가를 발굴 및 육성하고 지역민들에게 다양한 문화향수의 기회를 제공하고자 마련된 제7회 을숙도 창작음악축제. 부산영상음악협회, 작곡모임 잉태, 전자음악협회, 부산작곡가협회, 향천회 등 부산지역 5개 작곡단체가 출연, 합창 및 가곡, 실내악 등 다양한 무대를 선사했다."
2018 대학로소극장축제,12회,2018-10-15,2018-10-21,(사)한국소극장협회,"동숭무대 소극장, 아름다운 극장","(사)한국소극장협회에서 주최하는 대학로소극장축제는 올해로 12회째를 맞이하는 국내 대표적인 민간 소극장 축제다. 2007년 시작되어 2018년까지 한 해도 거르지 않고, 대학로를 중심으로 서울 및 지역, 지역과 지역, 국내와 해외에서 활동하는 소극장의 교류와 공연활동을 공유한다는 목적을 갖고 운영되고 있다."
대구세계합창축제,,2018-10-16,2018-10-18,"(사)대구세계합창축제, TBC문화재단",대구콘서트하우스 그랜드홀,각국의 다채로운 합창의 하모니가 대구콘서트하우스 그랜드홀에서 열렸다.
2018대학국악축제,,2018-10-16,2018-10-27,"국립국악원, 단국대학교, 서울대학교, 서울예술대학교, 수원대학교, 용인대학교, 이화여자대학교, 중앙대학교, 추계예술대학교, 한국예술종합학교, 한양대학교",국립국악원 예악당,2018 대학국악축제는 10월 16일부터 10월 27일까지 국립국악원 예악당에서 공연되었다.
제37회 밀양예술제,37회,2018-10-16,2018-10-30,"밀양시, 사단법인 한국예술문화단체총연합회 밀양지회",밀양아리랑아트센터,"국악협회는 20일 오후 5시 밀양아리랑아트센터 대공연장에서 '왕의 밀양 나들이', 연극협회는 21일 오후 5시 밀양아리랑아트센터 소공연장에서 '토우', 음악협회는 25일 오후7시 밀양아리랑아트센터 대공연장에서 '밀양 합창제', 연예예술인협회는 26일 오후 7시 밀양아리랑아트센터 대공연장에서 '앗싸! 가오리', 무용협회는 27일 오후 4시 삼문동 둔치에서 '사계 밀양이야기'공연을 개최한다. 박 회장은 """"밀양시민을 위해 밀양예총 8개협회지부에서 다양한 공연과 행사를 준비했다. "
제14회 부산국제합창제,14회,2018-10-17,2018-10-20,(재)한국합창조직위원회,"영화의전당, 소향씨어터","개막공연 초청팀으로 스틸레 안티코와 갈라콘서트 초청팀으로 코로 일루스트라도를 포함 총 12개국 20개 외국합창단 750여명과 국내 15개 경연참가합창단 700여 명과 축제합창단 15개 600여명 모두 2,000여명이 넘게 참가해 풍성한 축제가 되었다."
제3회 단단페스티벌,3회,2018-10-17,2018-11-11,소극장 혜화당,소극장 혜화당,"3회를 맞는 이번 페스티벌은 극단 이야기가, 프로젝트 럼버잭, 극단 드란, 극단 프로젝트그룹 연희공방, 뾰족한 상상뿔X뿔난 주니어, 뮤지컬창작소 불과 얼음, 극단 신인류, 프로젝트 꼴통 등 8팀이 참가하며 한 주에 두 팀의 작품이 연속 상연되어 4주에 걸쳐 이어졌다."
제3회 도담도담 페스티벌,3회,2018-10-17,2018-11-25,도담도담 페스티벌 사무국,대학로 지즐소극장,도담도담 페스티벌은 이제 막 데뷔한 신진 연극인들이 첫 발걸음을 내딛고 경험을 쌓아가기 위한 목적으로 개최하는 연극 페스티벌이다. 
제50회 난파음악제,50회,2018-10-18,2018-10-18,경기도음악협회,경기도문화의전당 대극장,"경기도음악협회(회장: 오현규)는 이번 50주년 난파음악제를 ‘미래를 향해. 새로움으로’ 란 슬로건을 내 걸었다. 인기그룹 팬텀싱어즈가 난파의 가곡 ‘봉선화’, ‘봄처녀’, ‘사랑’, ‘사공의 노래’를 불렀다. 콘서트에는 서울비르투오지 앙상블이 참여해 활력 넘치는 음악을 선사해 청중들의 환호를 받았다. "
2018 제20회 ‘생생’ 춤 페스티벌,20회,2018-10-18,2018-10-20,사단법인 한국현대무용협회,강동아트센터 대극장 한강,군무를 중심으로 한 지역 출신 안무가들의 작품 여섯 편이 무대에 올랐다.
2018성남뮤직페스티벌,,2018-10-18,2018-10-25,성남시,"유스페이스 광장, 위례중앙광장, 성남아트센터 앙상블시어터, 금광청소년 문화센터, 잡월드 나래울극장, 성남아트센터 콘서트홀","금난새 성남시 총 예술 감독 겸 성남시립교향악단 상임 지휘자가 총연출을 맡았다. 페스티벌은 성남시립교향악단·국악단·합창단·소년소녀합창단과 시민합창단, 성남유스오케스트라 등이 출연하는 대규모 음악회로 펼쳐졌다."
제56회 부산예술제,56회,2018-10-18,2018-10-27,"부산시, (사)부산예술문화단체총연합회","부산예술회관, 부산문화회관, 부산시민회관, 부산시청","개막식 및 축하공연, 예술정책심포지엄, 부산예술상 시상식과 부산예총의 12개의 단위협회가 주관하는 행사로 이루어졌다."
제3회 문화정원 아트홀 금천인형극제,3회,2018-10-19,2018-10-20,"서울시, 금천구청",문화정원 아트홀,올해 3회를 맞이한 금천인형극제는 매년 열리는 ‘춘천인형극제’의 우수작들을 초빙해 진행됐다. 반면 올해는 16년도부터 국내 뿐 아니라 해외에서도 활약하고 있는 시니어 봉사단체 ‘금빛노을 인형극단’도 참여해 인형극제 데뷔무대를 치렀다.
제21회 서편제보성소리축제,21회,2018-10-19,2018-10-21,보성군,"다향체육관 특설무대, 보성군 문화예술회관, 판소리 성지 전수교육관, 원형마당, 야외무대",21회째를 맞는 이번 축제는 우리나라 최고의 정통 판소리 축제로서 우리 소리의 진수를 느낄 수 있는 격조 있는 문화행사와 남녀노소 모두가 즐길 수 있는 다채로운 공연 등이 준비됐다.
제23회 금샘예술축제,23회,2018-10-19,2018-10-28,금정구,금정문화회관,"'제23회 금샘예술축제'가 10일간 금정문화회관 일원에서 펼쳐졌다. 올해로 23회째를 맞는 금샘예술축제는 관내 9개의 예술인 협회가 행사에 참여해 미술, 사진, 서예,시화전 등의 전시와 무용, 연극, 음악,연예, 국악 등의 다양한 공연을 선보였다."
제6회 남동문화예술제,6회,2018-10-20,2018-10-20,인천광역시 남동구,인천대공원 문화마당,"인천 남동구(구청장 이강호)는 지난 15일 구청 소강당에서 수상자와 그 가족 등 130여명이 참석한 가운데 ‘제6회 남동문화예술제’ 시상식을 개최했다. 이날 시상식에선 지난달 20일 인천대공원에서 개최된 그림 그리기, 글짓기, 서예, 사진 콘테스트 등 4개 분야에서 우수상 이상 수상작에 대해 대상인 구청장상 8명을 포함, 43명이 수상의 영광을 안았다."
