event_nm,tme_dc,event_bgn_de,event_end_de,auspc_instt_nm,opmt_place_nm,event_dc
제8회 대한민국발레축제,8회,2018-05-31,2018-06-24,"대한민국발레축제조직위원회, 예술의전당",예술의전당,5월 마지막 날 부터 함께하는 대한민국 발레축제에는 가족과 함께 즐길 수 있는 클래식 발레부터 젊은 안무가의 도전적이고 창의적인 모던발레 또한 경험할 수 있었다.
세계현페스티벌,1회,2018-04-14,2018-04-14,고령군,대가야문화누리 우륵홀,"뮤지컬배우 홍지민의 사회로 진행된 ‘세계 현 (絃) 페스티벌’은 가야금의 세계화를 위한 디딤돌로 그간 문화ㆍ경제 교류 MOU를 체결한 이탈리아, 중국, 일본, 스페인 등 외국 현악기 연주단과 도립국악단, 군립가야금연주단, 우륵청소년연주단, 청소년오케스트라단의 콜라보 연주를 관객들에게 선보임으로서 가야금의 고장인 고령군의 위상을 높였다."
제32회 한국무용제전,32회,2018-04-18,2018-04-29,한국춤협회,"아르코예술극장 대극장, 대학로예술극장 소극장","제32회 한국무용제전의 주제는 '축제(Festival)'로 한국인들이 본래 가무악 속에서 희노애락을 나누며 축제를 좋아하는 특성에 착안했다. 개막작 'The Wall'은 독일 동서 베를린 사이에 29년간 세워진 베를린 장벽과 트럼프의 멕시코 장벽에서 영감을 받아 2017년 9월 완성했다. 주로 미국, 영국, 호주 등 서구 중심으로 선보인 이 작품을 아시아에서는 한국무용제전을 통해 처음 선보였다."
제18회 서울국제즉흥춤축제,18회,2018-04-24,2018-04-29,주최: 국제공연예술프로젝트(IPAP) /주관: 서울국제즉흥춤축제사무국,아르코예술극장소극장 외,"공모와 초청을 통해 선정된 국내외 예술가 150여명이 참여했다. 개막 무대에는 안무가 남정호가 일본 즉흥 아티스트들과 협업한 작품이 올랐고, 폐막 무대는 두 시간에 걸쳐 펼쳐진 즉흥 난장 공연이 장식했다. 전문 예술가 이외에 즉흥에 관심 있는 학생과 일반인들의 무대도 함께 마련됐다."
제3회 대한민국 성악제,3회,2018-04-24,2018-10-16,한국성악가협회,"예술의전당 IBK챔버홀, 세종문화회관 체임버홀","매년 한국 성악가협회가 주관, 주최하는 본 축제는 한국가곡, 예술가곡, 오페라 3개 부문의 핵심 레퍼토리로 음악 애호가에게 다가가는 정통 성악 예술축제를 마련했다."
2018 제9회 대한민국오페라페스티벌,9회,2018-04-27,2018-05-27,대한민국오페라페스티벌조직위원회,예술의전당,"1948년 1월 16일 명동 시공관에서 개최된 오페라 <춘희(라 트라비아타)>을 시작으로 한국오페라 역사가 올해 70주년을 맞이한 올해는 지난해 공모를 통해 선정된 6개 오페라 단체가 참여했다. 오페라극장에서는 라벨라오페라단의 <가면무도회>(4.27(금)~4.29(일)), 서울오페라앙상블의 <오르페오와 에우리디체>(4.27(금)~4.29(일)), 누오바오페라단의 <여우뎐>(5.11(금)~5.13(일))과 국립오페라단 <오페라 갈라>(5.19(토)~5.20(일))가 관객을 만났다."
제2회 서울 댄스 플레이 국제 페스티벌 SDP,2회,2018-04-28,2018-05-20,소극장,얘기아트씨어터,"프랑스, 러시아, 일본, 태국에서 총 7개 팀 해외 무용수와 배우, 디렉터들이 흔쾌히 한국을 찾아와 소극장 무대에 섰다. 올해는 '나들이 그리고 물'을 주제로 하였다."
2018 제39회 서울연극제,39회,2018-04-28,2018-05-29,서울연극협회,"대학로예술극장 대극장, 동양예술극장3관, 아르코예술극장 대극장, 아트원씨어터3관, 유니플렉스2관","'연극은 대학로다'를 주제로 한 올해는 초연작 4편, 재연작 6편 등 10편이 공식 선정작으로 공연됐다."
2018 아이들거리축제 <혜화동 거리에서 놀자>,,2018-04-28,2018-10-27,"종로문화재단, 혜화동축제실행위원회",혜화로터리~아이들극장 일대,"4월부터 10월까지 격월로 총 4회에 걸쳐 ‘아이들거리축제’가 열렸다. 격월 마지막 주 토요일에 진행하는 2018 아이들거리축제 ‘혜화동 거리에서 놀자’는 각각 ‘상상’, ‘나눔’, ‘놀이’, ‘미래’를 테마로 정하고 회차별 주제에 맞는 거리공연과 놀이체험, 퍼레이드 등의 프로그램을 운영했다."
제16회 서울코랄페스티벌,16회,2018-05-02,2018-05-02,서울코랄페스티벌 조직위원회,예술의전당 콘서트홀,윤학원코랄을 비롯하여 어린이합창단부터 대학합창단까지 출연하여 새롭고 대중적인 프로그램으로 예술의전당 콘서트홀에서 개최되며 마지막순서인 연합합창은 윤학원 교수의 지휘로 약 400명 이상이 부르는 천상의 음악을 선보였다.
2018 부산공연예술축제 Mac off ,,2018-05-02,2018-05-20,"한국문화예술위원회, 동래문화회관, 사)극단 맥",동래문화회관,"12일 오후 부산 동래문화회관에서 2018 부산공연예술축제 부대행사로 스페인전통춤 플라멩고, 한국전통무용 산무, 동래학춤 등 전통무용이 공연되어 많은 관람객들에 뜨거운성원과 호응을 받고 화려하게 공연되었다."
제1회 강북구 어린이 공연예술축제,1회,2018-05-03,2018-05-05,,"강북문화예술회관 대공연장, 야외마당","‘팝업 놀이터’, ‘어린이 동극’, ‘마리오네트 공연’이 열렸다.  5월 3, 4일 오후 7시 두 차례에 걸쳐 음악극인 ‘헨젤과 그레텔’도 공연됐다."
2018 부산시립극단어린이연극체험페스티벌,,2018-05-04,2018-05-05,부산문화회관,"부산문화회관 챔버홀, 부산문화회관 앞 마당",5월 5일 어린이날을 맞아 부산시립극단이 아이들이 참여하기 좋은 다채로운 공연과 문화체험 행사를 부산문화회관에서 진행했다.
